Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,96.519997,96.870003,94.379997,95.099998,83.878716,5124200
2015-01-05,94.589996,94.889999,93.870003,94.160004,83.049622,5887900
2015-01-06,94.629997,95.300003,93.680000,94.230003,83.111382,5538700
2015-01-07,94.910004,95.980003,94.620003,95.930000,84.610786,5792700
2015-01-08,96.870003,98.000000,96.839996,97.970001,86.410103,6530700
2015-01-09,97.690002,98.330002,96.919998,97.919998,86.365974,4457900
2015-01-12,97.480003,98.120003,97.029999,97.199997,85.730934,5104300
2015-01-13,98.129997,99.080002,96.550003,97.239998,85.766205,4069500
2015-01-14,97.000000,97.489998,96.320000,97.330002,85.845604,4704500
2015-01-15,97.720001,98.050003,97.010002,97.169998,85.704468,3784800
2015-01-16,96.809998,98.889999,96.720001,98.739998,87.089211,4748900
2015-01-20,99.089996,99.410004,97.389999,98.370003,87.071526,4612000
2015-01-21,98.889999,99.510002,98.209999,99.500000,88.071732,5088500
2015-01-22,99.930000,100.669998,99.449997,100.279999,88.762161,5184300
2015-01-23,100.440002,101.339996,100.010002,100.620003,89.063095,4595500
2015-01-26,100.330002,101.070000,100.070000,101.010002,89.408302,2858900
2015-01-27,100.059998,101.309998,99.809998,100.820000,89.240112,3916900
2015-01-28,101.269997,101.589996,99.459999,99.599998,88.160248,4844100
2015-01-29,99.449997,100.169998,99.209999,100.110001,88.611671,4900800
2015-01-30,99.180000,99.860001,98.040001,98.160004,86.885651,6161100
2015-02-02,98.339996,99.220001,97.059998,99.110001,87.726532,4415500
2015-02-03,99.570000,100.169998,98.849998,100.129997,88.629379,4297300
2015-02-04,100.019997,101.139999,99.739998,100.459999,88.921478,5714000
2015-02-05,100.550003,100.959999,99.849998,100.760002,89.187019,3464300
2015-02-06,100.980003,101.449997,100.169998,100.610001,89.054253,4616100
2015-02-09,100.610001,100.769997,99.050003,99.559998,88.124840,5458600
2015-02-10,101.239998,101.879997,98.360001,101.680000,90.001350,9777600
2015-02-11,101.550003,103.290001,101.550003,102.589996,90.806824,6922400
